filename,is_spam,in_reply,subj_caps,attachments
1735.767c727c118916606982501980deb249,N,N,N,N
01746.06fb7b96d18dae121abb94e8a7624f4b,N,N,N,N
0653.68f91129d7292df3acc78eb6d575130f,N,N,N,N
01357.cf1f4075b85a439abfc8c0b81bca73ec,N,Y,N,N
2051.e7d9645f8b4b87954a4445b9129a7ca5,N,N,N,N
01021.3fc1c0955f38f5873882a577f00a5f2c,N,N,N,N
0978.3abc52be262e3631f31cd4aee5a1b901,N,N,N,N
0178.8405bbe39a5eb6c1814e3c16602099a4,N,N,N,N
1765.4257318f87e53aa246882d00e42c67d5,N,N,N,N
0632.5a55cc359e591b1264cefa42b228df98,N,Y,N,N
01826.ad12430bacae88235edc88001bf80c9e,N,N,N,N
1839.c66fbc9c72afb9ea062537d3635d1d6c,N,N,N,N
00198.abf0f5bd6209bb8e268d51902158e0aa,N,N,N,N
01289.1546c81997f7f3f154f6ef18d6e6bbf7,N,Y,N,N
0887.95cafbddb7fce33aada0e9d9bb329aa5,N,Y,N,N
01044.33acf4acbd1ac5f96486771baeda20c7,N,Y,N,N
02250.f947b89c1c14ac1d0e806219ad0d2161,N,N,N,N
00661.e779083f6d4522af5231edf0b9371a1d,N,Y,N,N
0645.10b54fc6ea0ff6afea35a0dc440cc2d1,N,N,N,N
02399.80c1a552b08b3c77ded87e0b3de97c8e,N,N,N,N
1108.128f9f0247b131505281874efc8e02f8,N,N,N,N
02242.069e8b99ee8a2d62ec97d0e9d389aa5f,N,N,N,N
00121.333fff2f2cb3dfd617a6210b669757d3,N,Y,N,N
0157.18c5e181c72acfc3a501a82907e58a59,N,N,N,N
00652.dde353b33fdd09f8daa33ffcdb016188,N,Y,N,N
1414.c9aa0ebdc370411948a0c8bf4a7e6b14,N,Y,N,N
02398.799b8be8a8ee865c6dfd22989e77a7c0,N,N,N,N
0546.b6bc744eb32a97fdb4005fc1e513cf85,N,Y,N,N
02209.af015c8af7d05a011604be64d0417ed7,N,N,N,N
0936.fd3d57ba85e83cca7b17ff92667a05eb,N,Y,N,N
00098.90c05d1ad65ea3fa796bfa2808f71052,N,N,N,N
0599.dcd037ac7e916599160fc182080defe3,N,Y,N,N
0570.17bb9eeb6562425ac2aee464a84f0e4a,N,Y,N,N
00215.d09b3f3c0df56258c17c3de4dfbfc6c6,N,Y,N,N
01447.98e4b20ceb192594e992f7db9f8dfc53,N,Y,N,N
2359.180792e98777a31826a0cc0214e7e98c,N,N,N,N
0694.81370eede2be95453ba67195c8619c60,N,Y,N,N
2420.907cd1772df173393e1df5c1f4364a9c,N,N,N,N
0190.41da72c46bce52a15056a0171b56a917,N,Y,N,N
01227.0c0989577c7476c986aa5328e4ef6118,N,Y,N,N
02155.bda8d6fe384d01fbd2bf35694c5f8d07,N,N,N,N
2161.044851c0caf13b43b3c1ba4acee6ea8d,N,N,N,N
2391.40efcd4ee4a50355cfe8a84c327122c1,N,N,N,N
01859.8998777b348fa74fc13a7140fd95766c,N,N,N,N
2121.a09b948bed54d0075b93d57f85b7df1a,N,N,N,N
0134.56b4bed3bd3a696ab5b271a6e37fa005,N,N,N,N
00483.0ce5057dc155d6a6aca6c917b4eb0793,N,Y,N,N
01191.07778802f15f6579b274b85a867ebde6,N,N,N,N
0577.7297b06fde913833e96aca4385826c29,N,N,N,N
01560.62422bb7104da6017e5568907fd41fb7,N,N,N,N
00560.e49654efbb65ad7539d43d356457a322,N,N,N,N
01028.9bc3697b9d9eb23fc4427b482b012f40,N,N,N,N
01883.16589be1ac43846c99b29ce78cd60223,N,N,N,N
1076.da788224ea4526c1e8e2a5840c9acf73,N,Y,N,N
02111.b9e939730374567a02cc9163ad2bdae9,N,N,N,N
02120.335e5984c47786e3ebf25a2b2b8df23b,N,N,N,N
1992.3e5d0678bc7aea746e1303b40f3bb961,N,N,N,N
01975.cf8723fe55a068c4cc86a29ba3d7a96a,N,N,N,N
01598.3e6e25959eae3d358e21d7144f61c42b,N,Y,N,N
00755.798a2e0b9045d90a9bddbb501dc1fcfb,N,Y,N,N
0471.55f1c6122fd60d151c2c42182ecb734a,N,Y,N,N
0981.c8d50b71ed6245f895b58c29d60c09be,N,Y,N,N
02054.56a00df5b128866454ef832ec5ce78a2,N,N,N,N
0100.1728f45047ff2a1601d4e3ee91f26a00,N,N,N,N
1195.4cad51ea61eee58c9b4496ebba828692,N,Y,N,N
00307.a2256465cea488cb0ffe6da0a2b0fb07,N,N,N,N
0559.2c60829e4147cdc981cf7131088b851d,N,Y,N,N
1189.e69e458af7eefebc70d658dd2e6d23df,N,Y,N,N
01727.d6713b65baf275582be556a87a824dd4,N,N,N,N
1079.3d222257b98d7d58a0f970d101be3ad7,N,Y,N,Y
01629.0ff6ccf08604c57e81a797521f9c0e6d,N,Y,N,N
1257.955825e253f61831ee071109a66f0fe9,N,Y,N,N
00774.1af9be3cd1aba6a371ee11dacc7d1025,N,Y,N,N
00977.8046655ae38293b58a69a94389f20020,N,Y,N,N
2070.812cfc32f3b181d9065454b27aa7c498,N,N,N,N
2415.28f9ed10a01fb7ff5dbb400d3b2bb00a,N,N,N,N
1020.7fdf27321484091bd72c08886ab53262,N,N,N,N
01026.96f87ecca532224622e3910ba33d8a13,N,N,N,N
01386.4421abca51be5e71c1651102468420e2,N,Y,N,N
1087.512badc5c555eb050c83ceb7faef9b61,N,Y,N,N
2500.231666f4f5641227a17a09ba77cd5c18,N,N,N,N
1084.c773b581863827faac61d6727562dc54,N,Y,N,N
2401.4e7aed94d1a109b0b98f0d9e3f5fbde7,N,N,N,N
00196.5a8ba13e30d79286b01472ef383d773d,N,N,N,N
00239.849f683f7532fe3ef85d3ae6cf2d7153,N,N,N,N
00440.02086b5f064e33a48c34183441934bd3,N,Y,N,N
00732.3ed34429d759468e94c14ca1e2bb231c,N,Y,N,N
2436.6d5122b7964e63cbf7b656d21bb77c50,N,N,N,N
0745.3e54df3c4f199b6b8aed76eefd11c660,N,N,N,N
1094.01d0cbf9f63dd83cdae62a98ec351d70,N,Y,N,N
01320.f1760dca874206f2189cd242da670499,N,N,N,N
1304.10546e3c5e1352134ff26c0e49f72864,N,Y,N,N
0086.b96641b3e0a2cf8c238976336d45a86c,N,Y,N,N
0697.19351a0b5670fb30cc1a2c9eed90a26b,N,N,N,N
0621.feb00fa392669a54bc5602f927fbae12,N,N,N,N
00877.fb94c382f9f10548db78b9d0339621e7,N,Y,N,N
0532.0a4c127cb659ebad1f4366cf3eb93b83,N,N,N,N
1814.95d3ab2beeba9b96666d25c09de2143f,N,N,N,N
0291.b37f92cfbb14d2f6a43c705ef7381702,N,Y,N,N
01567.451fa9142ae23a1c09dbbc87a09c557d,N,Y,N,Y
00693.6849440c3e1d1584a9f05b067d0062aa,N,N,N,N
01088.a46067a122aa5ad5d062961e6ecb3951,N,N,N,N
1138.f044795ad01dc8592e1571539f800719,N,Y,N,N
02215.7378c7c75e977c87de39e8b48291c8b7,N,N,N,N
1103.e4d34070786a4d46da1061628bef2b57,N,N,N,N
01931.95bc125f167b45a2fe51796fc69af04c,N,N,N,N
02245.665f72308396aa60a33375e5834de93c,N,N,N,N
02124.6bdfa74ca5ba8137a6e3cb9e239da331,N,N,N,N
0383.62511f9f1c1817dc6df14eb4912163c2,N,N,N,N
02211.06ce65e84569f2a40763e9c9ac2ee6cc,N,N,N,N
1245.2e33632f51f5c7cb7a0620decd151eab,N,Y,N,N
00866.670508b848fa453d194f443f4737b351,N,N,N,N
01591.7504f83163aa1c627354192d452a43e3,N,Y,N,Y
02246.b353269018884d01ee252bca5bd419ef,N,N,N,N
2510.4de2705ed127d2de3f3b5cd1b8043ba6,N,N,N,N
01895.45d546ac150b5bdfc6eee0e122aabbcb,N,N,N,N
02161.4b942bb106ecf89f8cec2699e8a9a7be,N,N,N,N
0033.e3fd617544226dc06abf36c95a9a2d11,N,N,N,N
2077.eba992ea7cedb65c1fddbf9ea01484f3,N,N,N,N
0899.1f868150b365a5f407f46f908fe879e1,N,Y,N,N
1357.c307e11b21bba14e568cd03731de0119,N,Y,N,N
2445.631e9fa95e78d7f56fce09a4e6da56fd,N,N,N,N
01189.cca889df55c39eb86b57501a014c3e59,N,N,N,N
2005.f95c773a32ba576c1da3324820a33f74,N,N,N,N
1046.06207e3824a4024e41215defe29e1ddf,N,Y,N,Y
0193.74f52046990258e5eb60e561dcd8c2fd,N,Y,N,N
01902.7911c2c7f6b6f3ca8ecf8fc35df8aa28,N,N,N,N
2427.2e44be16705ea1d39a01befda3915eb7,N,N,N,N
01370.2b2624810ea623cb3b83e4181c114964,N,Y,N,N
00213.cbab995631e4345875a326d533cf6cd6,N,N,N,N
00702.bf064c61d1ba308535d0d8af3bcb1789,N,Y,N,N
1209.8d537f01328f65ebd018e0e4e77ebc10,N,Y,N,Y
02175.05074ef986eed2c7c332b0cba9c6dabb,N,N,N,N
0338.b09f1384db1376a00e1c885adf9a1e05,N,Y,N,N
1477.c0b267d577c674023fec3244f351df06,N,N,N,N
00531.711a16c97d6955bdc3d4b09656e44d93,N,Y,N,N
1348.79cf2ab14db2301670710f9d1feaddda,N,N,N,N
01807.08bdc96ca0f8ca425fe8acd21fb25c70,N,N,N,N
0362.1ce94200cfcb544dc62bbc1134c8676e,N,N,N,N
2011.9604a6dfecb37414590009d7c0c04f30,N,N,N,N
01944.246605bdc72c4edf26299853775632d8,N,N,N,N
01692.3349a6670b58d2a39307e87ae0012294,N,N,N,N
1617.75b61ae83ecff7b45a80cac6cc8c9192,N,N,N,N
2368.b0434248d8b7f5b7d4c0572541f37832,N,N,N,N
0141.911fa855ce043ee41b450e6a1b0096d0,N,Y,N,N
01217.ca4f6cab0653e40829f209aefb242ae0,N,Y,N,N
0418.c0b6aa880f0653a8cef85a9bfb1af86c,N,Y,N,N
01056.3b111e8f39863835cc7133841b4649b5,N,Y,N,N
00856.b71f98991ee068f642498810ba0c5383,N,Y,N,N
01186.84abe104b1ba13a5fece47a170d5dbf1,N,Y,N,N
01999.be500ef9ae24936ccde1ec4300fb97b8,N,N,N,N
01476.63631b2e613c4c2cafa59a581e2f620b,N,Y,N,Y
1616.cedc09d67c941d1541cf598e0007509e,N,N,N,N
1844.2a15d667c53727befded94d9b526afff,N,N,N,N
1560.7e2353b8cfa54eec7a467743eaed5afd,N,Y,N,N
02397.87db84626f7e5927b6fabc96e6be2b2e,N,N,N,N
2479.a918c490f758e2421f35b66077f2699a,N,N,N,N
00797.f9905519971d08a70a6d9815016f8295,N,N,N,N
00803.a9faabf181ecae3ece9f7003a005aeea,N,Y,N,N
1451.64eda615fc56b4bbfdce6291a59c12f4,N,Y,N,N
00399.a7f6ab4a02fcda6c06662a660a75e677,N,Y,N,N
00594.805dae98d1ad6f99a7792418c1faccfd,N,Y,N,N
1597.e85265a0da41a962b316d117548bb3ea,N,N,N,N
02116.ef7558c9207d8d3fd813506328130c92,N,N,N,N
01903.7cd58b43139e430224c5de7639b0d5d7,N,N,N,N
00085.badc533c7037554017afb30c94dfcb55,N,N,N,N
0904.281bae2420e1d4491270fb4ccfe7c4e6,N,Y,N,N
01401.70777d5f3e75c701de00d7df66e0dcd2,N,N,N,N
00959.68fb2328c01cd34b7e0f1763c85f9c66,N,Y,N,N
01679.e027f2af78c05f8498f09d7979cd127d,N,N,N,N
2296.9d1646355d75f4b2dcdd497200c8544c,N,N,N,N
2276.8457c2cba3f53db0d700d967cdbea65c,N,N,N,N
1139.44ea8e749419ab215aab3810e4deea83,N,N,N,N
0666.d26ea575aa017100f7caa40a0462fcc4,N,N,N,N
02401.015271d0ec5160083028b8644b9d8e55,N,N,N,N
01171.bc028721505534967b4371da24b1e042,N,Y,N,N
1110.607e74a3949cd6e4787031e0164f09ff,N,N,N,N
0089.8b3fea141f5b2f2e5b66a9f12148b7d0,N,N,N,N
2116.eec6976677828cf9e6cbad4ed700dc00,N,N,N,N
1430.340721c84f45f79eeef6fcae18c82f20,N,Y,N,N
01324.277cb41dbcbdb083741a66b0c0900cf6,N,Y,N,N
1869.7e629f0611df5503ab8608b3cfd9def6,N,N,N,N
00344.99ffe210a9d425a86ab01840bdfd86c9,N,Y,N,N
1645.60a80c94ae8fec2ef1f1ef0915445400,N,Y,N,N
1013.8355d120301841c6b601bee02bb4c14f,N,N,N,N
2152.d8dd8a2810797c245f91ae73868e72c8,N,N,N,N
1311.1b2aa5b1599ab89a91f09ef1f1dc9989,N,Y,N,Y
01713.7e6c3f51ab4a45f60fbb0968d56f512c,N,N,N,N
1600.7d1caa5855ff06f37269178401aff693,N,Y,N,N
02184.63621c20176bcd2a19a94a1a99042740,N,N,N,N
00515.e84988067a252d765f7d24f15c0b0670,N,N,N,N
2430.07f067ef6e156d06699718e8927d58d2,N,N,N,N
1674.af90d09c58aa2dba5ee593c8ae3d8c70,N,Y,N,N
02396.0a7da4e5438d7316dd2fa1cf838dce13,N,N,N,N
1579.2b2d92136109e10122b2af311a414783,N,Y,N,N
2410.b2e5de4ac66ee4a16dbe5dc08e804e4c,N,N,N,N
2155.9febcd6b448dba76de404c1c57f8d239,N,N,N,N
00393.b7ba3f196286b0c5ce6e5b1ec9078cd3,N,Y,N,N
01717.7b6864b6307973a30ec24e69fc4a466a,N,N,N,N
01572.75046f3a9b60454aa0432ddfe764154d,N,N,N,N
00671.daf16d838d9b71f5f6cf09d54ebc1e3c,N,Y,N,N
2266.eba4519c860f5cad28d7219603c262aa,N,N,N,N
00660.91d1af396b1bc7b8703f5fae9de020d8,N,Y,N,N
00758.af02ef2952273218fb9d6c7ddbec7910,N,N,N,N
1875.dbed554328b768bf307fecf3b4491ce2,N,N,N,N
01904.c85458b60f9ef9b77f1f9530a7d3729e,N,N,N,N
1025.77dcf4ff92802ab3af94b9516d25b02a,N,Y,N,Y
01812.feffa846675a880e453fd3445af97ee0,N,N,N,N
1590.8d27eaf596403ade34f593db10eb8f28,N,N,N,N
1624.d73f5a35be403b0532263e72ccdab448,N,N,N,N
1106.e8f11a2a435c86f57edaf08a726bb72a,N,Y,N,N
01896.516f258e3f8185d4a0e002a7d806bddf,N,N,N,N
1194.ee628dd00ae3eea31232d0e78a39c9b2,N,Y,N,N
1836.7b8c9da065dd15894b0c6f851ac461e8,N,N,N,N
00115.d5db4a9d477aa17a19669e3945b7aedb,N,Y,N,N
1691.dc18b18697ac2c2d7e5024eb8be84ecb,N,Y,N,Y
1086.b51953361efc50df363334b72a566863,N,Y,N,N
00514.d44bd760b7ea720b9d1e1a7ba105e696,N,Y,N,N
1286.02bd8e853e68affa8f7d5fda314b4bd4,N,Y,N,N
00458.ad4375d9c03bdcd1828da9c405441b65,N,N,N,N
0252.274e70cd31fb5c72b9e7aee909c53cb1,N,Y,N,N
0389.1fe03acd5f135ac67ed7a7f35c4b3347,N,Y,N,N
0213.ee51a591f777be501b45101a6fe01776,N,Y,N,N
1036.8c6e8c189738f671c5fd1cb2b1791317,N,Y,N,N
1639.9abec21910adc16386517d83c04cf051,N,Y,N,N
01787.8c7c325481bbce39e57c1fc224ded7d5,N,N,N,N
1126.b707ed79d4930e8b4fda1eb0dcd5add8,N,Y,N,N
01597.03954d8ac44189d40142445ac632f6cf,N,N,N,N
0877.62f5636ba5885d1b92423169c83a35b9,N,Y,N,N
1113.13231f60c358f003d7a4ee9c678bcf66,N,Y,N,N
2036.6d6802d956648b98383d9188257a364f,N,N,N,N
02156.74c1dcd4f27d57b0ffe636326f652c5b,N,N,N,N
0245.39190ace43266b978a8561863c8841c0,N,N,N,N
1526.084c29eaad19c537fc8dce129ec30744,N,Y,N,N
01400.a654793f35a555abaef51abf76d47d75,N,N,N,N
02220.4280613b5d6f26a438b380b45b10c833,N,N,N,N
00633.a3d861bf0435fda936962c572ce0956a,N,Y,N,N
01570.8328542217bef2e4eb7ee644609efdbb,N,N,N,Y
01678.8f5053b1fda58d8224b0fb4827413912,N,N,N,N
02403.e2243f5db10d146f2b44dbb87159cc88,N,N,N,N
0473.c16661c43da07d0a3a9baaca5e14292d,N,Y,N,N
00682.7b96194cc45dfc4d54679a198dda3244,N,Y,N,N
00677.b957e34b4dd0d9263b56bf71b1168d8a,N,Y,N,N
00364.30f174421507d353f1f602919dec35af,N,Y,N,N
1429.3c60313af6a2a5c79bb97e06855a4af7,N,Y,N,N
01513.80c5fbd984e4ff243d1deeae20ca78b8,N,N,N,N
0521.56b24a33e65cd045de37e6bec5ec30e3,N,Y,N,N
1990.c01dffa98f203ef507e25ec37f4c413c,N,N,N,N
0926.927a96948e055489893b88ba752c7fae,N,N,N,N
00048.1e067f31e83cc6ea3e9103b52f15588e,N,Y,N,N
00690.f56ab439b3ce565dd3fbbefa5fefd0bc,N,Y,N,N
1832.01f5d745e5bca5dcb35f0f863f4b0bdf,N,N,N,N
02356.e517c740ad66697bba95a671d902563f,N,N,N,N
0695.938b36dec489bf6860a534c70f5853a8,N,Y,N,N
01006.4a648f164dd2f6076f59272ea14c3c03,N,N,N,N
1355.787c1831282475833fed423595755d11,N,N,N,N
01326.d8a709dac6b1c32aa355f0556350b4ab,N,Y,N,N
1480.ea8e1a4bb0cfd66e9f04c4f3c1c3379e,N,N,N,N
0908.ed1a6d5d837cf45b48c47dfb105607e9,N,N,N,N
0149.d59bb0d23ca8ad3a87e549d3e6172f26,N,N,N,N
0006.ee8b0dba12856155222be180ba122058,N,Y,N,N
0934.e85452a78cc528b9b99dac7ae0af5d82,N,Y,N,N
02423.1dc909c6b3be62619e6679bb3fec1ab0,N,N,N,N
0548.02f295e25e8268967c4f00b24ec03236,N,Y,N,N
0260.b68400a28ee29cb2f24149a03db1fd9e,N,Y,N,N
02380.25e823fa7a52cdd64be4b53caf862f34,N,N,N,N
00304.d02fe9b0a4d9111f79643c1e0793d846,N,Y,N,N
01877.ef69b53341e4f02ccf01ffdf83db34fa,N,N,N,N
01789.f0bfa328796c1dbfb2be2b30c54b1d8f,N,N,N,N
00989.59155225507b38fbee48407ebb6cc68d,N,Y,N,N
1060.f4a2a100431a65ef190bfdeae5a044b2,N,Y,N,N
02102.1c6772318e1a478b7363393023e8615d,N,N,N,N
00699.29e599983f044aee500f3a58c34acffc,N,Y,N,N
00589.38f809ae603fbabb0d3f2389011e9150,N,N,N,N
2363.33946657f5bd53e8453bfa83b58746ba,N,N,N,N
0802.ad16df843d76e5c7e04b7515dafd6202,N,Y,N,N
02069.6a2d4fb29121bc81427eb1519b5fdf9c,N,N,N,N
0216.d46ac2cc3fa5d42e1a9b7d8b4339f789,N,N,N,N
0390.d1ecb44eef90f33245ee0835d94e80ad,N,Y,N,N
01264.a6ae16864e0d116132a7d3850e33e9a6,N,N,N,N
01334.03de0c9d7098f5546c8b95ba9bba0265,N,Y,N,N
01001.ea532debe8b8f0f94d2fdbbaa743204b,N,Y,N,N
00640.bd6aaf961fe455813d6cd9448c29f312,N,Y,N,N
00321.c3dda1549b97568144b8290208504673,N,N,N,N
1487.0dec4dc8ef9439d54e1605b2a526e2ff,N,Y,N,N
01406.73967a202d2dbbc9651d0828f3fea38f,N,Y,N,Y
00401.fccfd3c52e43aa3512874c3efec9edcb,N,Y,N,N
00564.e6fc359c277f507a2e01198b9c60ae61,N,N,N,N
2271.b2af80ed47b6d1559aa437a52f6757e6,N,N,N,N
01092.de7b8468488cc45962d2f2d4882aeb66,N,Y,N,N
0894.9a873eed71fe3121571bced96155d76a,N,N,N,N
00549.a847ea8934802a0ec67a7fd1d136d26d,N,N,N,N
1994.229d82d8a3ec1e099e6c8904faaaa32a,N,N,N,N
00114.240461056916c0cdd555ba9d2bc9e63e,N,N,N,N
01066.f1bb150ef4ede1f6e29ea63ad2ef5684,N,Y,N,N
02495.5064946e77b3046873da91fc47656465,N,N,N,N
01546.600ca62f96dca0db15aa9ebbb19426a8,N,Y,N,N
0068.f1c604a78739e4f966253d762c972dde,N,N,N,N
02043.aa852e4d083325078cad6d701ffd99f7,N,N,N,N
00365.b73623c2ea40e64854121432f02a5a15,N,N,N,N
1240.cd4dbc60dd0c19e65f2e36f098462793,N,Y,N,N
01913.2a83ce1d003b4e136cc6a4f35cb09b50,N,N,N,N
1236.4f668a267ed4bfb3c9038c638ee7258b,N,Y,N,N
1149.68dbf497c1a8748757b6acc50fb74ed0,N,Y,N,Y
00975.23aa3095e145bf342502ee60bc602c28,N,Y,N,Y
2055.bf3873bdfb04c1fc4b4e88f4794f8260,N,N,N,N
